DATEINT,DATE,DAY,EVENT NUMBER,EVENT NAME,TIME,REGULAR HOURS,OVERTIME HOURS
20190426,4/26/2019,FRI,12473,Bing-NitinSawhney&StanfordSymphony,1700-2130,4.5,0.0
20190425,4/25/2019,THU,12476,ProFro,1830-2230,4.0,0.0
20190424,4/24/2019,WED,12032,Foothills,1700-2100,4.0,0.0
20190423,4/23/2019,TUE,12032,Foothills,1700-2100,4.0,0.0
20190420,4/20/2019,SAT,12477,Philipinx Cultural Night,1830-2230,4.0,0.0
20190419,4/19/2019,FRI,12037,VadenPharmacy,1600-1800,2.0,0.0
20190419,4/19/2019,FRI,12032,Foothills,1800-2100,3.0,0.0
20190418,4/18/2019,THU,12032,Foothills,1700-2100,4.0,0.0
20190417,4/17/2019,WED,12032,Foothills,1700-2100,4.0,0.0
20190413,4/13/2019,SAT,12428,GSB- C4C-BattleOfBand,1830-0200,7.0,0.0
20190412,4/12/2019,FRI,12425,GSB-C4C,1600-2245,6.25,0.0
20190411,4/11/2019,THU,12493,Bing-WhatMakesItGreat,1830-2215,3.75,0.0
20190410,4/10/2019,WED,12032,Foothills,1700-2100,4.0,0.0
20190406,4/6/2019,SAT,0,Training-CPR/first said,0700-1600,8.0,0.0
20190403,4/3/2019,WED,12032,Foothills,1700-2100,4.0,0.0
20190402,4/2/2019,TUE,12032,Foothills,1700-2100,4.0,0.0
20190401,4/1/2019,MON,12032,Foothills,1700-2100,4.0,0.0
20190331,3/31/2019,SUN,12032,Sick Day,0530-1230,6.5,0.0
20190329,3/29/2019,FRI,12037,Vaden,1600-1800,2.0,0.0
20190329,3/29/2019,FRI,12032,Foothills,1800-2000,2.0,0.0
20190327,3/27/2019,WED,12032,Foothills,1600-2000,4.0,0.0
20190326,3/26/2019,TUE,12032,Foothills,1600-2000,4.0,0.0
20190324,3/24/2019,SUN,12032,Foothills,0530-1230,6.5,0.0
20190322,3/22/2019,FRI,12421,Bing-OscarWithLove,1830-2230,4.0,0.0
20190321,3/21/2019,THU,12032,Foothills,1600-2000,4.0,0.0
20190319,3/19/2019,TUE,12032,Foothills,1600-2000,4.0,0.0
20190318,3/18/2019,MON,12420,BingConcert-Philharmonica Orchestra,1830-2215,3.75,0.0
20190317,3/17/2019,SUN,12036,MemorialChurch,0830-1230,4.0,0.0
20190317,3/17/2019,SUN,12029,BusTour,1300-1800,4.0,1.0
20190315,3/15/2019,FRI,12037,VadenPharmacy,1400-1600,2.0,0.0
20190315,3/15/2019,FRI,12391,BingConcert-A RefugeeLoveStory,1830-2145,3.25,0.0
20190313,3/13/2019,WED,12032,Foothills,1600-2000,4.0,0.0
20190312,3/12/2019,TUE,12032,Foothills,1600-2000,4.0,0.0
20190310,3/10/2019,SUN,12032,Foothills,1600-2000,4.0,0.0
20190307,3/7/2019,THU,000000,Sick Day,1830-2230,4.0,0.0
20190306,3/6/2019,WED,12399,GSE Cubberley,1600-2000,4.0,0.0
20190303,3/3/2019,SUN,12186,MenBBvsWashington,0930-1600,6.0,0.0
20190303,3/3/2019,SUN,12032,Foorhills,1600-2000,2.0,2.0
20190302,3/2/2019,SAT,12032,Foothilks,0530-1230,6.5,0.0
20190228,2/28/2019,THU,12185,MenBBvsWashingtonState,1630-2030,4.0,0.0
20190223,2/23/2019,SAT,12032,Foothills,1330-1900,5.0,0.0
20190222,2/22/2019,FRI,12183,WomenBBvsArizina,1730-2145,4.25,0.0
20190218,2/18/2019,MON,12304,BannetInstallation,0430-0600,1.5,0.0
20190218,2/18/2019,MON,12032,Foothills,0600-1230,6.0,0.0
20190217,2/17/2019,SUN,12354,TreeHack,0730-1700,8.0,1.0
20190215,2/15/2019,FRI,12376,BlackLove,1800-2300,5.0,0.0
20190213,2/13/2019,WED,12181,MenBBvsUSC,1830-2245,4.25,0.0
20190210,2/10/2019,SUN,12180,WomenBBvsOregon,0930-1545,5.0,1.25
20190210,2/10/2019,SUN,12032,Foothills,0600-0900,3.0,0.0
20190209,2/9/2019,SAT,12032,Foothills,0600-0800,2.0,0.0
20190209,2/9/2019,SAT,12029,TourBus,0800-1330,5.0,0.0
20190203,2/3/2019,SUN,12029,TourBus,0900-1330,4.5,0.0
20190203,2/3/2019,SUN,12032,Foothills,1400-1900,3.5,1.5
20190202,2/2/2019,SAT,12032,Foothills,0600-1230,6.0,0.0
20190127,1/27/2019,SUN,12036,MemorialChurch,0830-1230,4.0,0.0
